INDICATOR,SEX,economy,Country name,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
HD.HCI.AMRT,_T,ABW,Aruba,,,,,,,
HD.HCI.AMRT,_T,AFG,Afghanistan,,,0.779699981212616,0.7803818583488464,,0.7877408266067505,
HD.HCI.AMRT,_T,AGO,Angola,,,0.7638000249862671,0.7214807271957397,,0.7293587327003479,
HD.HCI.AMRT,_T,AIA,,,,,,,,
HD.HCI.AMRT,_T,ALB,Albania,,,0.9365000128746032,0.9277925491333008,,0.9293659925460817,
HD.HCI.AMRT,_T,AND,Andorra,,,,,,,
HD.HCI.AMRT,_T,ANT,,,,,,,,
HD.HCI.AMRT,_T,ARB,,,,,,,,
HD.HCI.AMRT,_T,ARE,United Arab Emirates,,,0.9280999898910522,0.9368669986724854,,0.9386425018310548,
HD.HCI.AMRT,_T,ARG,Argentina,,,0.8889999985694885,0.8858857154846191,,0.8882691860198975,
HD.HCI.AMRT,_T,ARM,Armenia,,,0.8815000057220459,0.8835772275924683,,0.885818600654602,
HD.HCI.AMRT,_T,ASM,American Samoa,,,,,,,
HD.HCI.AMRT,_T,ATG,Antigua and Barbuda,,,,0.8949596285820007,,0.8972075581550598,
HD.HCI.AMRT,_T,AUS,Australia,,,0.9484000205993652,0.9442607760429382,,0.94614177942276,
HD.HCI.AMRT,_T,AUT,Austria,,,0.9359999895095824,0.936358630657196,,0.9371843934059144,
HD.HCI.AMRT,_T,AZE,Azerbaijan,,,0.8723000288009644,0.8803824186325073,,0.8819581270217896,
HD.HCI.AMRT,_T,BDI,Burundi,,,0.7142000198364258,0.7146260738372803,,0.7229411005973816,
HD.HCI.AMRT,_T,BEL,Belgium,,,0.929099977016449,0.9291227459907532,,0.9312352538108826,
HD.HCI.AMRT,_T,BEN,Benin,,,0.7627000212669373,0.7623834013938904,,0.7682603597640991,
HD.HCI.AMRT,_T,BFA,Burkina Faso,,,0.7526000142097473,0.7526319026947021,,0.7613705396652222,
HD.HCI.AMRT,_T,BGD,Bangladesh,,,0.8748000264167786,0.8642221689224243,,0.8685122728347778,
HD.HCI.AMRT,_T,BGR,Bulgaria,,,0.8665000200271606,0.8634905219078064,,0.8661385178565979,
HD.HCI.AMRT,_T,BHR,Bahrain,,,0.9330999851226808,0.9328523874282836,,0.934414565563202,
HD.HCI.AMRT,_T,BHS,"Bahamas, The",,,,,,,
HD.HCI.AMRT,_T,BIH,Bosnia and Herzegovina,,,0.9063000082969666,0.9113121628761292,,0.9136298894882202,
HD.HCI.AMRT,_T,BLR,Belarus,,,,0.8497244715690613,,0.853127121925354,
HD.HCI.AMRT,_T,BLZ,Belize,,,,,,,
HD.HCI.AMRT,_T,BMU,Bermuda,,,,,,,
HD.HCI.AMRT,_T,BOL,Bolivia,,,,,,,
HD.HCI.AMRT,_T,BRA,Brazil,,,0.8593999743461609,0.857953667640686,,0.8613823652267456,
HD.HCI.AMRT,_T,BRB,Barbados,,,,,,,
HD.HCI.AMRT,_T,BRN,Brunei Darussalam,,,,0.8763079047203064,,0.8789383172988892,
HD.HCI.AMRT,_T,BTN,Bhutan,,,,0.800723671913147,,0.8068366050720215,
HD.HCI.AMRT,_T,BWA,Botswana,,,0.7942000031471252,0.7959014177322388,,0.7988409996032715,
HD.HCI.AMRT,_T,CAF,Central African Republic,,,,0.5845180749893188,,0.5913954377174377,
HD.HCI.AMRT,_T,CAN,Canada,,,0.9408000111579896,0.9376502633094788,,0.939972162246704,
HD.HCI.AMRT,_T,CEB,,,,,,,,
HD.HCI.AMRT,_T,CHE,Switzerland,,,0.9520999789237976,0.952182114124298,,0.9538422226905824,
HD.HCI.AMRT,_T,CHI,Channel Islands,,,,,,,
HD.HCI.AMRT,_T,CHL,Chile,,,0.9140999913215636,0.9154091477394104,,0.9177480936050416,
HD.HCI.AMRT,_T,CHN,China,,,0.9211999773979188,0.9214194416999816,,0.923591136932373,
HD.HCI.AMRT,_T,CIV,Cote d'Ivoire,,,0.6139000058174133,0.6520500183105469,,0.6600455045700073,
HD.HCI.AMRT,_T,CMR,Cameroon,,,0.6708999872207642,0.6967406868934631,,0.7042362689971924,
HD.HCI.AMRT,_T,COD,"Congo, Dem Rep",,,0.748199999332428,0.7481644153594971,,0.7535561919212341,
HD.HCI.AMRT,_T,COG,"Congo, Rep",,,0.7523999810218811,0.7373095750808716,,0.7429219484329224,
HD.HCI.AMRT,_T,COK,,,,,,,,
HD.HCI.AMRT,_T,COL,Colombia,,,0.8621000051498413,0.8840466141700745,,0.8866510987281799,
HD.HCI.AMRT,_T,COM,Comoros,,,0.7774999737739563,0.7775101661682129,,0.7819996476173401,
HD.HCI.AMRT,_T,CPV,Cabo Verde,,,,,,,
HD.HCI.AMRT,_T,CRI,Costa Rica,,,0.9172000288963318,0.9133731722831726,,0.9159905910491944,
HD.HCI.AMRT,_T,CSS,,,,,,,,
HD.HCI.AMRT,_T,CUB,Cuba,,,,,,,
HD.HCI.AMRT,_T,CUW,Curacao,,,,,,,
HD.HCI.AMRT,_T,CYM,Cayman Islands,,,,,,,
HD.HCI.AMRT,_T,CYP,Cyprus,,,0.9502999782562256,0.9503371715545654,,0.9520066380500792,
HD.HCI.AMRT,_T,CZE,Czech Republic,,,0.9158999919891356,0.9202409982681274,,0.922457218170166,
HD.HCI.AMRT,_T,DEU,Germany,,,0.9312999844551086,0.9281005263328552,,0.9308924674987792,
HD.HCI.AMRT,_T,DJI,Djibouti,,,,,,,
HD.HCI.AMRT,_T,DMA,Dominica,,,,0.8593729734420776,,0.8593729734420776,
HD.HCI.AMRT,_T,DNK,Denmark,,,0.9312999844551086,0.9296045303344728,,0.9317006468772888,
HD.HCI.AMRT,_T,DOM,Dominican Republic,,,0.8406999707221985,0.8421509861946106,,0.8447074890136719,
HD.HCI.AMRT,_T,DZA,Algeria,,,0.9070000052452089,0.9069254994392396,,0.9092822670936584,
HD.HCI.AMRT,_T,EAP,,,,,,,,
HD.HCI.AMRT,_T,EAR,,,,,,,,
HD.HCI.AMRT,_T,EAS,,,,,,,,
HD.HCI.AMRT,_T,ECA,,,,,,,,
HD.HCI.AMRT,_T,ECS,,,,,,,,
HD.HCI.AMRT,_T,ECU,Ecuador,,,0.8791999816894531,0.8731955289840698,,0.8764479160308838,
HD.HCI.AMRT,_T,EGY,"Egypt, Arab Rep",,,0.8532999753952026,0.8535677194595337,,0.8567936420440674,
HD.HCI.AMRT,_T,EMU,,,,,,,,
HD.HCI.AMRT,_T,ERI,Eritrea,,,,,,,
HD.HCI.AMRT,_T,ESP,Spain,,,0.9445000290870668,0.9445052742958068,,0.946016252040863,
HD.HCI.AMRT,_T,EST,Estonia,,,0.8819000124931335,0.8948230743408203,,0.8974454402923584,
HD.HCI.AMRT,_T,ETH,Ethiopia,,,0.7857999801635742,0.785764753818512,,0.7929816842079163,
HD.HCI.AMRT,_T,EUU,,,,,,,,
HD.HCI.AMRT,_T,FCS,,,,,,,,
HD.HCI.AMRT,_T,FIN,Finland,,,0.9283000230789183,0.9277637600898744,,0.930211067199707,
HD.HCI.AMRT,_T,FJI,Fiji,,,,0.7805733680725098,,0.7839993238449097,
HD.HCI.AMRT,_T,FRA,France,,,0.925599992275238,0.9241620302200316,,0.926030695438385,
HD.HCI.AMRT,_T,FRO,Faroe Islands,,,,,,,
HD.HCI.AMRT,_T,FSM,"Micronesia, Fed Sts",,,,0.8366199135780334,,0.8392251133918762,
HD.HCI.AMRT,_T,FTI,,,,,,,,
HD.HCI.AMRT,_T,GAB,Gabon,,,0.7724999785423279,0.7862554788589478,,0.7904538512229919,
HD.HCI.AMRT,_T,GBR,United Kingdom,,,0.9362999796867372,0.9317129254341124,,0.9334116578102112,
HD.HCI.AMRT,_T,GEO,Georgia,,,0.8518999814987183,0.8498436212539673,,0.8528455495834351,
HD.HCI.AMRT,_T,GHA,Ghana,,,0.7630000114440918,0.7621852159500122,,0.7682544589042664,
HD.HCI.AMRT,_T,GIB,Gibraltar,,,,,,,
HD.HCI.AMRT,_T,GIN,Guinea,,,0.7501000165939331,0.7530790567398071,,0.759966254234314,
HD.HCI.AMRT,_T,GMB,"Gambia, The",,,0.7445999979972839,0.744307279586792,,0.7525278329849243,
HD.HCI.AMRT,_T,GNB,Guinea-Bissau,,,,,,,
HD.HCI.AMRT,_T,GNQ,Equatorial Guinea,,,,,,,
HD.HCI.AMRT,_T,GRC,Greece,,,0.9373999834060668,0.9304873943328856,,0.9330050945281982,
HD.HCI.AMRT,_T,GRD,Grenada,,,,0.8500851392745972,,0.850867509841919,
HD.HCI.AMRT,_T,GRL,Greenland,,,,,,,
HD.HCI.AMRT,_T,GTM,Guatemala,,,0.8417999744415283,0.8431560397148132,,0.8466562628746033,
HD.HCI.AMRT,_T,GUM,Guam,,,,,,,
HD.HCI.AMRT,_T,GUY,Guyana,,,0.7924000024795532,0.7720769047737122,,0.7743628025054932,
HD.HCI.AMRT,_T,HIC,,,,,,,,
HD.HCI.AMRT,_T,HKG,"Hong Kong SAR, China",,,0.9509999752044678,0.9532141089439392,,0.9546135067939758,
HD.HCI.AMRT,_T,HND,Honduras,,,0.8565000295639038,0.8576517701148987,,0.8604116439819336,
HD.HCI.AMRT,_T,HPC,,,,,,,,
HD.HCI.AMRT,_T,HRV,Croatia,,,0.9085000157356262,0.9148348569869996,,0.917376697063446,
HD.HCI.AMRT,_T,HTI,Haiti,,,0.7627000212669373,0.7701724767684937,,0.7758921384811401,
HD.HCI.AMRT,_T,HUN,Hungary,,,0.8676999807357788,0.8769702911376953,,0.8796287775039673,
HD.HCI.AMRT,_T,IBD,,,,,,,,
HD.HCI.AMRT,_T,IBT,,,,,,,,
HD.HCI.AMRT,_T,IDA,,,,,,,,
HD.HCI.AMRT,_T,IDB,,,,,,,,
HD.HCI.AMRT,_T,IDN,Indonesia,,,0.8276000022888184,0.8461430668830872,,0.8497079610824585,
HD.HCI.AMRT,_T,IDX,,,,,,,,
HD.HCI.AMRT,_T,IMN,Isle of Man,,,,,,,
HD.HCI.AMRT,_T,IND,India,,,0.8252000212669373,0.8211573958396912,,0.825507640838623,
HD.HCI.AMRT,_T,IRL,Ireland,,,0.9455999732017516,0.9399216771125792,,0.9443046450614928,
HD.HCI.AMRT,_T,IRN,"Iran, Islamic Rep",,,0.9208999872207642,0.9321795105934144,,0.9344824552536012,
HD.HCI.AMRT,_T,IRQ,Iraq,,,0.8410000205039978,0.8416457176208496,,0.844261884689331,
HD.HCI.AMRT,_T,ISL,Iceland,,,0.9524000287055968,0.9527342319488524,,0.95481938123703,
HD.HCI.AMRT,_T,ISR,Israel,,,0.9484999775886536,0.9485175609588624,,0.9503155946731568,
HD.HCI.AMRT,_T,ITA,Italy,,,0.9503999948501588,0.9510484337806702,,0.9527933597564696,
HD.HCI.AMRT,_T,JAM,Jamaica,,,0.8698999881744385,0.8593442440032959,,0.8613766431808472,
HD.HCI.AMRT,_T,JOR,Jordan,,,0.8919000029563904,0.8921356797218323,,0.8941662311553955,
HD.HCI.AMRT,_T,JPN,Japan,,,0.9448000192642212,0.9471440315246582,,0.9485490918159484,
HD.HCI.AMRT,_T,KAZ,Kazakhstan,,,0.796500027179718,0.8417448401451111,,0.8446402549743652,
HD.HCI.AMRT,_T,KEN,Kenya,,,0.7870000004768372,0.7674987316131592,,0.7736021280288696,
HD.HCI.AMRT,_T,KGZ,Kyrgyz Republic,,,0.8235999941825867,0.8467015027999878,,0.8494346141815186,
HD.HCI.AMRT,_T,KHM,Cambodia,,,0.8331999778747559,0.8332056403160095,,0.8377218842506409,
HD.HCI.AMRT,_T,KIR,Kiribati,,,0.8066999912261963,0.8046819567680359,,0.808998703956604,
HD.HCI.AMRT,_T,KNA,St Kitts and Nevis,,,,0.8769999742507935,,0.8769999742507935,
HD.HCI.AMRT,_T,KOR,"Korea, Rep",,,0.9395999908447266,0.942729651927948,,0.9445470571517944,
HD.HCI.AMRT,_T,KWT,Kuwait,,,0.9225000143051147,0.940710186958313,,0.941962718963623,
HD.HCI.AMRT,_T,LAC,,,,,,,,
HD.HCI.AMRT,_T,LAO,Lao PDR,,,0.8125,0.8150905966758728,,0.8217880129814148,
HD.HCI.AMRT,_T,LBN,Lebanon,,,0.9409000277519226,0.93309223651886,,0.9345919489860536,
HD.HCI.AMRT,_T,LBR,Liberia,,,0.7706000208854675,0.7699257135391235,,0.7757184505462646,
HD.HCI.AMRT,_T,LBY,Libya,,,,,,,
HD.HCI.AMRT,_T,LCA,St Lucia,,,,0.8630889058113098,,0.8654462695121765,
HD.HCI.AMRT,_T,LCN,,,,,,,,
HD.HCI.AMRT,_T,LDC,,,,,,,,
HD.HCI.AMRT,_T,LIC,,,,,,,,
HD.HCI.AMRT,_T,LIE,Liechtenstein,,,,,,,
HD.HCI.AMRT,_T,LKA,Sri Lanka,,,0.8679999709129333,0.895721435546875,,0.8984954953193665,
HD.HCI.AMRT,_T,LMC,,,,,,,,
HD.HCI.AMRT,_T,LMY,,,,,,,,
HD.HCI.AMRT,_T,LNX,,,,,,,,
HD.HCI.AMRT,_T,LSO,Lesotho,,,0.5015000104904175,0.5116569995880127,,0.5225437879562378,
HD.HCI.AMRT,_T,LTE,,,,,,,,
HD.HCI.AMRT,_T,LTU,Lithuania,,,0.8330000042915344,0.840333878993988,,0.8436782956123352,
HD.HCI.AMRT,_T,LUX,Luxembourg,,,0.9394999742507936,0.9394603967666626,,0.9419684410095216,
HD.HCI.AMRT,_T,LVA,Latvia,,,0.8460999727249146,0.8410740494728088,,0.8441311717033386,
HD.HCI.AMRT,_T,MAC,"Macao SAR, China",,,0.9592000246047974,0.9591713547706604,,0.9604228734970092,
HD.HCI.AMRT,_T,MAF,St Martin (French part),,,,,,,
HD.HCI.AMRT,_T,MAR,Morocco,,,0.9315999746322632,0.931605875492096,,0.9341241121292114,
HD.HCI.AMRT,_T,MCO,Monaco,,,,,,,
HD.HCI.AMRT,_T,MDA,Moldova,,,0.8331000208854675,0.8330181241035461,,0.8355879187583923,
HD.HCI.AMRT,_T,MDG,Madagascar,,,0.7910000085830688,0.7891969084739685,,0.7967065572738647,
HD.HCI.AMRT,_T,MDV,Maldives,,,,,,,
HD.HCI.AMRT,_T,MEA,,,,,,,,
HD.HCI.AMRT,_T,MEX,Mexico,,,0.8920000195503235,0.8599802851676941,,0.8614773750305176,
HD.HCI.AMRT,_T,MHL,Marshall Islands,,,,0.6991643309593201,,0.6991643309593201,
HD.HCI.AMRT,_T,MIC,,,,,,,,
HD.HCI.AMRT,_T,MKD,North Macedonia,,,0.9050999879837036,0.9067904949188232,,0.9088664054870604,
HD.HCI.AMRT,_T,MLI,Mali,,,0.7426000237464905,0.7426455020904541,,0.7499744892120361,
HD.HCI.AMRT,_T,MLT,Malta,,,0.9470000267028807,0.949394941329956,,0.9510608315467834,
HD.HCI.AMRT,_T,MMR,Myanmar,,,0.8080999851226807,0.800674319267273,,0.8048852682113647,
HD.HCI.AMRT,_T,MNA,,,,,,,,
HD.HCI.AMRT,_T,MNE,Montenegro,,,0.9071999788284302,0.9028556346893312,,0.9056139588356018,
HD.HCI.AMRT,_T,MNG,Mongolia,,,0.7911999821662903,0.7913501262664795,,0.7959926128387451,
HD.HCI.AMRT,_T,MNP,Northern Mariana Islands,,,,,,,
HD.HCI.AMRT,_T,MOZ,Mozambique,,,0.6937000155448914,0.6693771481513977,,0.6808788180351257,
HD.HCI.AMRT,_T,MRT,Mauritania,,,0.7993000149726868,0.8012385368347168,,0.8046591281890869,
HD.HCI.AMRT,_T,MSR,,,,,,,,
HD.HCI.AMRT,_T,MUS,Mauritius,,,0.8587999939918518,0.856415331363678,,0.8592610359191895,
HD.HCI.AMRT,_T,MWI,Malawi,,,0.7278000116348267,0.7260372638702393,,0.737675130367279,
HD.HCI.AMRT,_T,MYS,Malaysia,,,0.8792999982833862,0.8743494749069214,,0.8770209550857544,
HD.HCI.AMRT,_T,MYT,,,,,,,,
HD.HCI.AMRT,_T,NAC,,,,,,,,
HD.HCI.AMRT,_T,NAM,Namibia,,,0.7124000191688538,0.697753369808197,,0.708560585975647,
HD.HCI.AMRT,_T,NCL,New Caledonia,,,,,,,
HD.HCI.AMRT,_T,NER,Niger,,,0.7580000162124634,0.7588063478469849,,0.7666255235671997,
HD.HCI.AMRT,_T,NGA,Nigeria,,,0.6518999934196472,0.6518902778625488,,0.6585401296615601,
HD.HCI.AMRT,_T,NIC,Nicaragua,,,0.8568999767303467,0.8477747440338135,,0.8513867855072021,
HD.HCI.AMRT,_T,NIU,,,,,,,,
HD.HCI.AMRT,_T,NLD,Netherlands,,,0.9444000124931335,0.9444217085838318,,0.9462765455245972,
HD.HCI.AMRT,_T,NOR,Norway,,,0.9442999958992004,0.942668080329895,,0.9446014165878296,
HD.HCI.AMRT,_T,NPL,Nepal,,,0.8543999791145325,0.8496795892715454,,0.8561713695526123,
